,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
10,$uicideboy$,CLYDE (I Hope At Least One Of My Ex-Girlfriends Hears This),71,"['dark trap', 'new orleans rap', 'underground hip hop']",𝖑𝖆𝖘𝖙 𝖜𝖔𝖗𝖉𝖘,0.694,0.684,7,-5.276,1,0.0599,0.122,0.0,0.113,0.334,100.951,59aL2q2UPYJkgLTSv0WTlB,spotify:track:59aL2q2UPYJkgLTSv0WTlB,https://api.spotify.com/v1/tracks/59aL2q2UPYJkgLTSv0WTlB,https://api.spotify.com/v1/audio-analysis/59aL2q2UPYJkgLTSv0WTlB,152137,4
11,Prozac+,Acida,52,['italian pop punk'],17,0.488,0.914,9,-7.531,0,0.0539,0.000194,0.00231,0.0712,0.55,174.396,00NIByhDqGWbptOjm0dU4f,spotify:track:00NIByhDqGWbptOjm0dU4f,https://api.spotify.com/v1/tracks/00NIByhDqGWbptOjm0dU4f,https://api.spotify.com/v1/audio-analysis/00NIByhDqGWbptOjm0dU4f,157467,4
12,Funeral Suits,We Only Attack Ourselves,32,['shimmer pop'],【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.479,0.239,5,-9.558,0,0.0328,0.908,0.0477,0.107,0.244,116.813,2LDepxj2UJB7xi3QKmz0kz,spotify:track:2LDepxj2UJB7xi3QKmz0kz,https://api.spotify.com/v1/tracks/2LDepxj2UJB7xi3QKmz0kz,https://api.spotify.com/v1/audio-analysis/2LDepxj2UJB7xi3QKmz0kz,201253,4
13,Junichi Masuda,Arceus and the Creation,25,[],u fucking nerd,0.379,0.372,4,-11.832,1,0.0384,0.627,0.945,0.126,0.12,83.026,4BaXJ7Un5UaEC1lFmg37Bx,spotify:track:4BaXJ7Un5UaEC1lFmg37Bx,https://api.spotify.com/v1/tracks/4BaXJ7Un5UaEC1lFmg37Bx,https://api.spotify.com/v1/audio-analysis/4BaXJ7Un5UaEC1lFmg37Bx,180000,4
14,Hideki Naganuma,Let Mom Sleep,38,['japanese vgm'],u fucking nerd,0.878,0.933,1,-6.094,1,0.204,0.0502,0.269,0.67,0.782,136.246,3TTfJWuWugsdbroEhudsOg,spotify:track:3TTfJWuWugsdbroEhudsOg,https://api.spotify.com/v1/tracks/3TTfJWuWugsdbroEhudsOg,https://api.spotify.com/v1/audio-analysis/3TTfJWuWugsdbroEhudsOg,170977,4
15,Nirvana,Lithium,71,"['grunge', 'permanent wave', 'rock']",𝔾𝔸𝕊,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,5vHLwhxxlGzmClMcxRRFPr,spotify:track:5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/tracks/5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/audio-analysis/5vHLwhxxlGzmClMcxRRFPr,257053,4
16,Fabri Fibra,Momenti no,46,"['italian hip hop', 'rap napoletano']",hip h໐p ¢นlt,0.713,0.732,7,-4.464,1,0.348,0.127,0.0,0.142,0.597,166.002,4fE5D8udvgEqCJKMqx69tl,spotify:track:4fE5D8udvgEqCJKMqx69tl,https://api.spotify.com/v1/tracks/4fE5D8udvgEqCJKMqx69tl,https://api.spotify.com/v1/audio-analysis/4fE5D8udvgEqCJKMqx69tl,259667,4
17,The Kooks,Naive,74,"['brighton indie', 'modern rock', 'rock']",𝔾𝔸𝕊,0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304,7BHPGtpuuWWsvE7cCaMuEU,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/tracks/7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/audio-analysis/7BHPGtpuuWWsvE7cCaMuEU,203507,4
18,Neffa,La Mia Signorina,50,"['italian adult pop', 'italian hip hop', 'italian indie pop', 'italian underground hip hop', 'rap napoletano']",hip h໐p ¢นlt,0.812,0.411,9,-5.315,1,0.0383,0.104,0.0,0.0743,0.701,114.063,0kM3bPNUPgxaeOf7VzRQer,spotify:track:0kM3bPNUPgxaeOf7VzRQer,https://api.spotify.com/v1/tracks/0kM3bPNUPgxaeOf7VzRQer,https://api.spotify.com/v1/audio-analysis/0kM3bPNUPgxaeOf7VzRQer,202613,4
19,Verdena,Sino a Notte (D.I.),34,"['bergamo indie', 'italian alternative', 'italian indie pop']",verdena,0.652,0.67,7,-6.153,1,0.0248,0.000559,0.877,0.208,0.625,94.944,1IlXpN0ORg4AASY39mSODo,spotify:track:1IlXpN0ORg4AASY39mSODo,https://api.spotify.com/v1/tracks/1IlXpN0ORg4AASY39mSODo,https://api.spotify.com/v1/audio-analysis/1IlXpN0ORg4AASY39mSODo,232107,4
20,Black Sabbath,Children of the Grave,64,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",𝔾𝔸𝕊,0.311,0.658,6,-13.529,1,0.0406,0.0706,0.104,0.093,0.353,151.813,3ZuVfQriS93y6ofwbIf7lp,spotify:track:3ZuVfQriS93y6ofwbIf7lp,https://api.spotify.com/v1/tracks/3ZuVfQriS93y6ofwbIf7lp,https://api.spotify.com/v1/audio-analysis/3ZuVfQriS93y6ofwbIf7lp,314720,4
21,David Bowie,Starman - 2012 Remaster,76,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",space cowboy,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,0pQskrTITgmCMyr85tb9qq,spotify:track:0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/audio-analysis/0pQskrTITgmCMyr85tb9qq,254293,4
22,Pink Floyd,When You're In - 2011 Remastered Version,35,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.521,0.592,2,-14.216,1,0.0598,0.0226,0.946,0.0786,0.153,164.042,1TZd3vb87ScRAv9ya40CXI,spotify:track:1TZd3vb87ScRAv9ya40CXI,https://api.spotify.com/v1/tracks/1TZd3vb87ScRAv9ya40CXI,https://api.spotify.com/v1/audio-analysis/1TZd3vb87ScRAv9ya40CXI,151253,4
23,Frah Quintale,Sotto effetto,36,"['italian hip hop', 'italian indie pop', 'milan indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.764,0.778,6,-7.621,0,0.378,0.603,0.00102,0.131,0.752,117.567,2RjHQKFGzHE7ooHObB1g2S,spotify:track:2RjHQKFGzHE7ooHObB1g2S,https://api.spotify.com/v1/tracks/2RjHQKFGzHE7ooHObB1g2S,https://api.spotify.com/v1/audio-analysis/2RjHQKFGzHE7ooHObB1g2S,191704,4
24,Calcutta ,Le barche,34,"['italian indie pop', 'rome indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.62,0.233,0,-10.036,1,0.0427,0.735,0.0,0.111,0.491,124.215,2FOk2KVYxFAff9XE5Q60mE,spotify:track:2FOk2KVYxFAff9XE5Q60mE,https://api.spotify.com/v1/tracks/2FOk2KVYxFAff9XE5Q60mE,https://api.spotify.com/v1/audio-analysis/2FOk2KVYxFAff9XE5Q60mE,120653,4
25,Pink Floyd,Obscured By Clouds - 2011 Remastered Version,39,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.3,0.297,2,-17.06,1,0.0277,0.00788,0.68,0.116,0.0383,164.315,3Dh9hsNDVAD0fwDng0K3rq,spotify:track:3Dh9hsNDVAD0fwDng0K3rq,https://api.spotify.com/v1/tracks/3Dh9hsNDVAD0fwDng0K3rq,https://api.spotify.com/v1/audio-analysis/3Dh9hsNDVAD0fwDng0K3rq,184693,4
26,Crim3s,Lost,67,"['sigilkore', 'witch house']",D҉E҉S҉P҉A҉I҉R҉,0.497,0.651,7,-4.93,1,0.0322,0.000603,0.000531,0.0723,0.109,119.886,3xd4GVGAuzJGdVZLEKvWea,spotify:track:3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/tracks/3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/audio-analysis/3xd4GVGAuzJGdVZLEKvWea,148000,4
27,The Microphones,(Something),37,"['alternative rock', 'anti-folk', 'indie rock', 'lo-fi', 'lo-fi indie', 'noise pop', 'olympia wa indie']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.144,0.0295,10,-34.003,0,0.0336,0.746,0.931,0.112,0.0969,99.56,3IguXbB3fBcTrFKgMB75x7,spotify:track:3IguXbB3fBcTrFKgMB75x7,https://api.spotify.com/v1/tracks/3IguXbB3fBcTrFKgMB75x7,https://api.spotify.com/v1/audio-analysis/3IguXbB3fBcTrFKgMB75x7,98453,4
28,Yung Bae,Fly With Me,41,['future funk'],ｓｈｉｂｕｙａ,0.556,0.872,2,-5.357,0,0.19,0.00355,3.17e-06,0.0986,0.577,129.997,5Jceu500e4SAup5qHKXJJB,spotify:track:5Jceu500e4SAup5qHKXJJB,https://api.spotify.com/v1/tracks/5Jceu500e4SAup5qHKXJJB,https://api.spotify.com/v1/audio-analysis/5Jceu500e4SAup5qHKXJJB,199385,4
29,Frah Quintale,Colpa Del Vino,49,"['italian hip hop', 'italian indie pop', 'milan indie']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.679,0.623,7,-5.352,1,0.215,0.296,0.0,0.102,0.717,81.334,06pcJklH8rf0T5aHN64DTN,spotify:track:06pcJklH8rf0T5aHN64DTN,https://api.spotify.com/v1/tracks/06pcJklH8rf0T5aHN64DTN,https://api.spotify.com/v1/audio-analysis/06pcJklH8rf0T5aHN64DTN,173333,4
30,Nu Genea,Tienaté,61,"['indie napoletano', 'neapolitan funk']",august '22,0.699,0.806,0,-7.428,1,0.0507,0.096,0.00839,0.349,0.953,118.806,1SIXMGcsAeA6sNxaY1EG3O,spotify:track:1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/tracks/1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/audio-analysis/1SIXMGcsAeA6sNxaY1EG3O,278029,4
31,Bruce Springsteen,Born in the U.S.A.,72,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,0dOg1ySSI7NkpAe89Zo0b9,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/audio-analysis/0dOg1ySSI7NkpAe89Zo0b9,278680,4
32,Travis Scott,goosebumps,54,"['rap', 'slap house']",🆁🅴🅰🅻 🆃🆁🅰🅿🅿🅸🅽',0.849,0.629,7,-6.27,1,0.0475,0.0789,0.0,0.13,0.467,130.105,6dWf1xaHOmJo7eL9WuSkdL,spotify:track:6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/tracks/6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/audio-analysis/6dWf1xaHOmJo7eL9WuSkdL,243840,4
33,XXXTENTACION,Revenge,87,"['emo rap', 'miami hip hop']",june ‘22,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,5TXDeTFVRVY7Cvt0Dw4vWW,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,https://api.spotify.com/v1/tracks/5TXDeTFVRVY7Cvt0Dw4vWW,https://api.spotify.com/v1/audio-analysis/5TXDeTFVRVY7Cvt0Dw4vWW,120027,4
34,Funk Shui Project,"La luna, il fumo, le persiane",37,"['italian indie pop', 'rap napoletano']",hip h໐p ¢นlt,0.557,0.536,4,-8.972,0,0.326,0.351,0.0,0.109,0.855,141.92,1tH4E6wM4F0w0uXksLb2lJ,spotify:track:1tH4E6wM4F0w0uXksLb2lJ,https://api.spotify.com/v1/tracks/1tH4E6wM4F0w0uXksLb2lJ,https://api.spotify.com/v1/audio-analysis/1tH4E6wM4F0w0uXksLb2lJ,177528,3
35,Gomma,Aprile,34,"['italian alternative', 'italian emo', 'italian indie pop']",17,0.484,0.89,8,-6.772,1,0.0848,0.0189,0.387,0.0968,0.745,92.579,2t48WArPDgZ8kZbNAqJwIj,spotify:track:2t48WArPDgZ8kZbNAqJwIj,https://api.spotify.com/v1/tracks/2t48WArPDgZ8kZbNAqJwIj,https://api.spotify.com/v1/audio-analysis/2t48WArPDgZ8kZbNAqJwIj,103205,4
36,The Drums,I Don't Know How To Love,61,"['brooklyn indie', 'indie rock', 'indie surf', 'modern rock']",【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.411,0.89,11,-6.062,1,0.0436,0.0617,0.127,0.227,0.0669,169.97,2YvWonOJesvP0yu9IFJY7S,spotify:track:2YvWonOJesvP0yu9IFJY7S,https://api.spotify.com/v1/tracks/2YvWonOJesvP0yu9IFJY7S,https://api.spotify.com/v1/audio-analysis/2YvWonOJesvP0yu9IFJY7S,202054,4
37,Marietta,"Chase, I Hardly Know Ya",31,"['alternative emo', 'diy emo', 'emo', 'midwest emo', 'philly indie']",✮,0.375,0.58,2,-8.845,1,0.0406,0.572,0.0115,0.116,0.403,140.015,2K4h2jMvqQ8VEKPP7F7MWg,spotify:track:2K4h2jMvqQ8VEKPP7F7MWg,https://api.spotify.com/v1/tracks/2K4h2jMvqQ8VEKPP7F7MWg,https://api.spotify.com/v1/audio-analysis/2K4h2jMvqQ8VEKPP7F7MWg,220451,4
38,Dsa Commando,Effetto Werther,15,['italian underground hip hop'],hip h໐p ¢นlt,0.468,0.893,7,-4.712,1,0.334,0.000377,0.0,0.204,0.527,174.169,0sWCkV8OtChoYGvuoyNfmf,spotify:track:0sWCkV8OtChoYGvuoyNfmf,https://api.spotify.com/v1/tracks/0sWCkV8OtChoYGvuoyNfmf,https://api.spotify.com/v1/audio-analysis/0sWCkV8OtChoYGvuoyNfmf,166490,4
39,Fabri Fibra,Venerdì diciassette,43,"['italian hip hop', 'rap napoletano']",just another boring week,0.562,0.737,9,-5.989,0,0.325,0.0218,0.0,0.398,0.563,183.725,5c2Pmd63YCGb50VzaDRitD,spotify:track:5c2Pmd63YCGb50VzaDRitD,https://api.spotify.com/v1/tracks/5c2Pmd63YCGb50VzaDRitD,https://api.spotify.com/v1/audio-analysis/5c2Pmd63YCGb50VzaDRitD,215240,4
40,Verdena,Valvonauta,43,"['bergamo indie', 'italian alternative', 'italian indie pop']",verdena,0.41,0.943,8,-6.991,1,0.0456,2.51e-05,0.00319,0.207,0.675,133.513,0GMnES4HiZpPOAham6DiH9,spotify:track:0GMnES4HiZpPOAham6DiH9,https://api.spotify.com/v1/tracks/0GMnES4HiZpPOAham6DiH9,https://api.spotify.com/v1/audio-analysis/0GMnES4HiZpPOAham6DiH9,262773,4
41,Quercia,Pozzanghere,15,"['italian emo', 'italian indie pop', 'italian post-hardcore', 'sardinia indie']",D҉E҉S҉P҉A҉I҉R҉,0.428,0.949,1,-5.563,0,0.052,0.000175,0.785,0.0674,0.0697,84.926,46ur7BPC19mxFjyfebOFSd,spotify:track:46ur7BPC19mxFjyfebOFSd,https://api.spotify.com/v1/tracks/46ur7BPC19mxFjyfebOFSd,https://api.spotify.com/v1/audio-analysis/46ur7BPC19mxFjyfebOFSd,146902,4
42,The Cure,Friday I'm In Love,76,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",just another boring week,0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,4QlzkaRHtU8gAdwqjWmO8n,spotify:track:4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/tracks/4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/audio-analysis/4QlzkaRHtU8gAdwqjWmO8n,215160,4
43,Fast Animals and Slow Kids,Asteroide,18,"['italian alternative', 'italian indie pop']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.299,0.77,0,-3.864,1,0.0384,0.198,0.0081,0.109,0.0771,134.97,14xq70Ita1KiDlx1YDY60z,spotify:track:14xq70Ita1KiDlx1YDY60z,https://api.spotify.com/v1/tracks/14xq70Ita1KiDlx1YDY60z,https://api.spotify.com/v1/audio-analysis/14xq70Ita1KiDlx1YDY60z,297440,4
44,Thegiornalisti,Senza,35,"['italian adult pop', 'italian indie pop', 'italian pop', 'rome indie']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.551,0.849,0,-4.707,1,0.0418,0.00201,0.0,0.168,0.315,113.027,1eAZH4LTThdnreJGX6DNd6,spotify:track:1eAZH4LTThdnreJGX6DNd6,https://api.spotify.com/v1/tracks/1eAZH4LTThdnreJGX6DNd6,https://api.spotify.com/v1/audio-analysis/1eAZH4LTThdnreJGX6DNd6,203951,4
45,David Bowie,Let's Dance - 2018 Remaster,69,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",disco sadness,0.654,0.743,10,-7.44,0,0.0605,0.0125,0.0272,0.153,0.632,114.846,3ix6K4wZY29bCujrSznwFZ,spotify:track:3ix6K4wZY29bCujrSznwFZ,https://api.spotify.com/v1/tracks/3ix6K4wZY29bCujrSznwFZ,https://api.spotify.com/v1/audio-analysis/3ix6K4wZY29bCujrSznwFZ,457676,4
46,72-HOUR POST FIGHT,LOITER,17,['milan indie'],ｍｏｏｄｙ ｅａｒｇａｓｍ,0.636,0.549,5,-10.077,0,0.0375,0.472,0.836,0.23,0.318,119.967,6g3yRFyCZnbZcIcxifLUPY,spotify:track:6g3yRFyCZnbZcIcxifLUPY,https://api.spotify.com/v1/tracks/6g3yRFyCZnbZcIcxifLUPY,https://api.spotify.com/v1/audio-analysis/6g3yRFyCZnbZcIcxifLUPY,191978,4
47,Canova,Manzarek,48,['milan indie'],𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.54,0.785,7,-3.714,1,0.0301,0.277,0.0,0.133,0.552,116.867,1c545gcoPZglxnjHTxXBeX,spotify:track:1c545gcoPZglxnjHTxXBeX,https://api.spotify.com/v1/tracks/1c545gcoPZglxnjHTxXBeX,https://api.spotify.com/v1/audio-analysis/1c545gcoPZglxnjHTxXBeX,230717,4
48,Green Day,One Of My Lies,28,"['permanent wave', 'punk']",bassbassbassbassbass,0.336,0.976,1,-4.06,1,0.113,0.0282,2.55e-05,0.592,0.777,94.925,75GU5mkJo4OY2YjGykJCoU,spotify:track:75GU5mkJo4OY2YjGykJCoU,https://api.spotify.com/v1/tracks/75GU5mkJo4OY2YjGykJCoU,https://api.spotify.com/v1/audio-analysis/75GU5mkJo4OY2YjGykJCoU,139413,4
49,The Wonder Years,Woke Up Older,36,"['alternative emo', 'anthem emo', 'emo', 'philly indie', 'pop punk']",august '22,0.438,0.955,4,-5.13,1,0.112,0.00128,0.0,0.192,0.302,95.912,7BKZBCqV6eAyT0wVQvWWrC,spotify:track:7BKZBCqV6eAyT0wVQvWWrC,https://api.spotify.com/v1/tracks/7BKZBCqV6eAyT0wVQvWWrC,https://api.spotify.com/v1/audio-analysis/7BKZBCqV6eAyT0wVQvWWrC,213664,4
50,Mecna,Superman,32,"['italian hip hop', 'italian indie pop', 'r&b italiano']",september '22,0.494,0.423,4,-8.049,0,0.046,0.834,0.0,0.115,0.389,123.632,5unDcADEgwE5ppbXKH8dE3,spotify:track:5unDcADEgwE5ppbXKH8dE3,https://api.spotify.com/v1/tracks/5unDcADEgwE5ppbXKH8dE3,https://api.spotify.com/v1/audio-analysis/5unDcADEgwE5ppbXKH8dE3,107280,4
51,Tomo Fujita,Just Funky,27,[],ｓｈｉｂｕｙａ,0.656,0.662,9,-13.224,1,0.0516,0.104,0.837,0.0967,0.842,115.786,6Udw2B4QbMxStBz2dYM3bB,spotify:track:6Udw2B4QbMxStBz2dYM3bB,https://api.spotify.com/v1/tracks/6Udw2B4QbMxStBz2dYM3bB,https://api.spotify.com/v1/audio-analysis/6Udw2B4QbMxStBz2dYM3bB,415427,4
52,M83,My Tears Are Becoming a Sea,64,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.162,0.353,8,-11.286,0,0.0509,0.0993,0.274,0.575,0.0551,110.76,08wnOyN1wyMaNrup3m353f,spotify:track:08wnOyN1wyMaNrup3m353f,https://api.spotify.com/v1/tracks/08wnOyN1wyMaNrup3m353f,https://api.spotify.com/v1/audio-analysis/08wnOyN1wyMaNrup3m353f,151827,1
53,Junichi Masuda,A New World Order (Battle! Galactic Boss Cyrus),21,[],u fucking nerd,0.377,0.744,1,-8.047,1,0.0551,0.123,0.792,0.132,0.171,79.963,4O8MyuPM8JUYJmJNaU99v6,spotify:track:4O8MyuPM8JUYJmJNaU99v6,https://api.spotify.com/v1/tracks/4O8MyuPM8JUYJmJNaU99v6,https://api.spotify.com/v1/audio-analysis/4O8MyuPM8JUYJmJNaU99v6,204587,4
54,S. Kiyotaka & Omega Tribe,MIDNIGHT DOWN TOWN,43,['classic city pop'],ｓｈｉｂｕｙａ,0.76,0.707,7,-7.723,0,0.0437,0.298,0.000168,0.0364,0.911,124.035,5Apf3vHBoTfRBTRhrndVXO,spotify:track:5Apf3vHBoTfRBTRhrndVXO,https://api.spotify.com/v1/tracks/5Apf3vHBoTfRBTRhrndVXO,https://api.spotify.com/v1/audio-analysis/5Apf3vHBoTfRBTRhrndVXO,305733,4
